Tag Code,Report Season,Location,latitude,longitude
775IZ,2020,El Rosario,30.0595,115.7258
AAAB310,2020,El Rosario,30.0595,115.7258
AAAE401,2020,El Rosario,30.0595,115.7258
AAAE620,2020,El Rosario,30.0595,115.7258
AAAM653,2020,El Rosario,30.0595,115.7258
AAAN163,2020,El Rosario,30.0595,115.7258
AAAR048,2020,El Rosario,30.0595,115.7258
AAAW641,2020,El Rosario,30.0595,115.7258
AABA649,2020,El Rosario,30.0595,115.7258
AABB388,2020,El Rosario,30.0595,115.7258
AABB895,2020,El Rosario,30.0595,115.7258
AABC305,2020,El Rosario,30.0595,115.7258
AACM749,2020,El Rosario,30.0595,115.7258
AACM779,2020,El Rosario,30.0595,115.7258
AACS031,2020,El Rosario,30.0595,115.7258
AACS078,2020,El Rosario,30.0595,115.7258
AACW123,2020,El Rosario,30.0595,115.7258
AAEC730,2020,El Rosario,30.0595,115.7258
AAEC974,2020,El Rosario,30.0595,115.7258
AAEG420,2020,El Rosario,30.0595,115.7258
AAEJ264,2020,El Rosario,30.0595,115.7258
AAEJ591,2020,El Rosario,30.0595,115.7258
AAEN732,2020,El Rosario,30.0595,115.7258
AAES793,2020,El Rosario,30.0595,115.7258
AAET621,2020,El Rosario,30.0595,115.7258
AAEX093,2020,El Rosario,30.0595,115.7258
AAGC443,2020,El Rosario,30.0595,115.7258
AAHC186,2020,El Rosario,30.0595,115.7258
AAHG764,2020,El Rosario,30.0595,115.7258
AAHX021,2020,El Rosario,30.0595,115.7258
AAJE556,2020,El Rosario,30.0595,115.7258
AAJW332,2020,El Rosario,30.0595,115.7258
AALC701,2020,El Rosario,30.0595,115.7258
AALC720,2020,El Rosario,30.0595,115.7258
AALE265,2020,El Rosario,30.0595,115.7258
AALL557,2020,El Rosario,30.0595,115.7258
AALP369,2020,El Rosario,30.0595,115.7258
AALR194,2020,El Rosario,30.0595,115.7258
AALR640,2020,El Rosario,30.0595,115.7258
AALS122,2020,El Rosario,30.0595,115.7258
AALS199,2020,El Rosario,30.0595,115.7258
AAMA124,2020,El Rosario,30.0595,115.7258
AAMA448,2020,El Rosario,30.0595,115.7258
AAMC699,2020,El Rosario,30.0595,115.7258
AAME892,2020,El Rosario,30.0595,115.7258
AAMH665,2020,El Rosario,30.0595,115.7258
AAMH973,2020,El Rosario,30.0595,115.7258
AAML530,2020,El Rosario,30.0595,115.7258
AAML733,2020,El Rosario,30.0595,115.7258
AAMM783,2020,El Rosario,30.0595,115.7258
AAMM859,2020,El Rosario,30.0595,115.7258
AAMM976,2020,El Rosario,30.0595,115.7258
AAMR520,2020,El Rosario,30.0595,115.7258
AAMS018,2020,El Rosario,30.0595,115.7258
AAMZ679,2020,El Rosario,30.0595,115.7258
AANJ384,2020,El Rosario,30.0595,115.7258
AANJ822,2020,El Rosario,30.0595,115.7258
AANL064,2020,El Rosario,30.0595,115.7258
AANL123,2020,El Rosario,30.0595,115.7258
AANL560,2020,El Rosario,30.0595,115.7258
AANN755,2020,El Rosario,30.0595,115.7258
AANP410,2020,El Rosario,30.0595,115.7258
AANR503,2020,El Rosario,30.0595,115.7258
AANT088,2020,El Rosario,30.0595,115.7258
AANT627,2020,El Rosario,30.0595,115.7258
AANU242,2020,El Rosario,30.0595,115.7258
AAPB064,2020,El Rosario,30.0595,115.7258
AAPB963,2020,El Rosario,30.0595,115.7258
AAPC020,2020,El Rosario,30.0595,115.7258
AAPC273,2020,El Rosario,30.0595,115.7258
AAPC617,2020,El Rosario,30.0595,115.7258
AAPC792,2020,El Rosario,30.0595,115.7258
AAPG390,2020,El Rosario,30.0595,115.7258
AAPG564,2020,El Rosario,30.0595,115.7258
AAPH054,2020,El Rosario,30.0595,115.7258
AAPH358,2020,El Rosario,30.0595,115.7258
AAPJ436,2020,El Rosario,30.0595,115.7258
AAPR413,2020,El Rosario,30.0595,115.7258
AARG495,2020,El Rosario,30.0595,115.7258
AASG454,2020,El Rosario,30.0595,115.7258
AASH069,2020,El Rosario,30.0595,115.7258
AASM740,2020,El Rosario,30.0595,115.7258
AASP160,2020,El Rosario,30.0595,115.7258
AASZ020,2020,El Rosario,30.0595,115.7258
AATA073,2020,El Rosario,30.0595,115.7258
AATB132,2020,El Rosario,30.0595,115.7258
AATN059,2020,El Rosario,30.0595,115.7258
AATP258,2020,El Rosario,30.0595,115.7258
AAUA866,2020,El Rosario,30.0595,115.7258
AAUB467,2020,El Rosario,30.0595,115.7258
AAUG987,2020,El Rosario,30.0595,115.7258
AAUH059,2020,El Rosario,30.0595,115.7258
AAUX850,2020,El Rosario,30.0595,115.7258
AAWL807,2020,El Rosario,30.0595,115.7258
AAWU032,2020,El Rosario,30.0595,115.7258
AAWU735,2020,El Rosario,30.0595,115.7258
AAWU977,2020,El Rosario,30.0595,115.7258
AAWZ375,2020,El Rosario,30.0595,115.7258
AAWZ941,2020,El Rosario,30.0595,115.7258
AAXC112,2020,El Rosario,30.0595,115.7258
AAXG788,2020,El Rosario,30.0595,115.7258
AAXG956,2020,El Rosario,30.0595,115.7258
AAXH367,2020,El Rosario,30.0595,115.7258
AAXH701,2020,El Rosario,30.0595,115.7258
AAXH725,2020,El Rosario,30.0595,115.7258
AAXN206,2020,El Rosario,30.0595,115.7258
AAXP183,2020,El Rosario,30.0595,115.7258
AAXX729,2020,El Rosario,30.0595,115.7258
AAXY744,2020,El Rosario,30.0595,115.7258
AAYB862,2020,El Rosario,30.0595,115.7258
AAYB925,2020,El Rosario,30.0595,115.7258
AAYC719,2020,El Rosario,30.0595,115.7258
AAYE135,2020,El Rosario,30.0595,115.7258
AAYX527,2020,El Rosario,30.0595,115.7258
AAYY286,2020,El Rosario,30.0595,115.7258
AAYY309,2020,El Rosario,30.0595,115.7258
AAYY871,2020,El Rosario,30.0595,115.7258
AAZA562,2020,El Rosario,30.0595,115.7258
AAZB768,2020,El Rosario,30.0595,115.7258
AAZE310,2020,El Rosario,30.0595,115.7258
AAZE330,2020,El Rosario,30.0595,115.7258
AAZE344,2020,El Rosario,30.0595,115.7258
AAZE850,2020,El Rosario,30.0595,115.7258
AAZL084,2020,El Rosario,30.0595,115.7258
AAZL739,2020,El Rosario,30.0595,115.7258
AAZZ109,2020,El Rosario,30.0595,115.7258
ABAJ426,2020,El Rosario,30.0595,115.7258
ABAM146,2020,El Rosario,30.0595,115.7258
ABBA678,2020,El Rosario,30.0595,115.7258
ABBE150,2020,El Rosario,30.0595,115.7258
ABBS086,2020,El Rosario,30.0595,115.7258
ABBY598,2020,El Rosario,30.0595,115.7258
ABCB012,2020,El Rosario,30.0595,115.7258
ABCB041,2020,El Rosario,30.0595,115.7258
ABCP029,2020,El Rosario,30.0595,115.7258
ABCP212,2020,El Rosario,30.0595,115.7258
ABCP252,2020,El Rosario,30.0595,115.7258
ABCP629,2020,El Rosario,30.0595,115.7258
ABET228,2020,El Rosario,30.0595,115.7258
ABGA632,2020,El Rosario,30.0595,115.7258
ABGC002,2020,El Rosario,30.0595,115.7258
ABGC177,2020,El Rosario,30.0595,115.7258
ABGN645,2020,El Rosario,30.0595,115.7258
ABHP428,2020,El Rosario,30.0595,115.7258
ABHR062,2020,El Rosario,30.0595,115.7258
ABHT387,2020,El Rosario,30.0595,115.7258
ABHT471,2020,El Rosario,30.0595,115.7258
ABHT496,2020,El Rosario,30.0595,115.7258
ABJJ869,2020,El Rosario,30.0595,115.7258
ABJJ906,2020,El Rosario,30.0595,115.7258
ABJM990,2020,El Rosario,30.0595,115.7258
ABJY682,2020,El Rosario,30.0595,115.7258
ABLM110,2020,El Rosario,30.0595,115.7258
ABLP137,2020,El Rosario,30.0595,115.7258
ABMH391,2020,El Rosario,30.0595,115.7258
ABMJ215,2020,El Rosario,30.0595,115.7258
ABMR973,2020,El Rosario,30.0595,115.7258
ABMS147,2020,El Rosario,30.0595,115.7258
ABNS811,2020,El Rosario,30.0595,115.7258
ABPE611,2020,El Rosario,30.0595,115.7258
ABPG572,2020,El Rosario,30.0595,115.7258
ABPL973,2020,El Rosario,30.0595,115.7258
ABPM116,2020,El Rosario,30.0595,115.7258
ABPP254,2020,El Rosario,30.0595,115.7258
ABPP275,2020,El Rosario,30.0595,115.7258
ABPR693,2020,El Rosario,30.0595,115.7258
ABPR902,2020,El Rosario,30.0595,115.7258
ABPT047,2020,El Rosario,30.0595,115.7258
ABPT397,2020,El Rosario,30.0595,115.7258
ABPT515,2020,El Rosario,30.0595,115.7258
ABPT750,2020,El Rosario,30.0595,115.7258
ABPU063,2020,El Rosario,30.0595,115.7258
ABPU471,2020,El Rosario,30.0595,115.7258
ABPX254,2020,El Rosario,30.0595,115.7258
ABPX751,2020,El Rosario,30.0595,115.7258
ABRE392,2020,El Rosario,30.0595,115.7258
ABRE406,2020,El Rosario,30.0595,115.7258
ABRJ180,2020,El Rosario,30.0595,115.7258
ABRJ741,2020,El Rosario,30.0595,115.7258
ABRN701,2020,El Rosario,30.0595,115.7258
ABRW354,2020,El Rosario,30.0595,115.7258
ABSA184,2020,El Rosario,30.0595,115.7258
ABSG527,2020,El Rosario,30.0595,115.7258
ABSH347,2020,El Rosario,30.0595,115.7258
ABSJ928,2020,El Rosario,30.0595,115.7258
ABSL231,2020,El Rosario,30.0595,115.7258
ABSL443,2020,El Rosario,30.0595,115.7258
ABSL850,2020,El Rosario,30.0595,115.7258
ABSL907,2020,El Rosario,30.0595,115.7258
ABSM053,2020,El Rosario,30.0595,115.7258
ABSM133,2020,El Rosario,30.0595,115.7258
ABSN548,2020,El Rosario,30.0595,115.7258
ABSS632,2020,El Rosario,30.0595,115.7258
ABSU429,2020,El Rosario,30.0595,115.7258
ABSX380,2020,El Rosario,30.0595,115.7258
ABSX463,2020,El Rosario,30.0595,115.7258
ABSZ655,2020,El Rosario,30.0595,115.7258
ABTA314,2020,El Rosario,30.0595,115.7258
ABTA494,2020,El Rosario,30.0595,115.7258
ABTA519,2020,El Rosario,30.0595,115.7258
ABTE341,2020,El Rosario,30.0595,115.7258
ABTG469,2020,El Rosario,30.0595,115.7258
ABTG498,2020,El Rosario,30.0595,115.7258
ABTH839,2020,El Rosario,30.0595,115.7258
ABTJ510,2020,El Rosario,30.0595,115.7258
ABTJ570,2020,El Rosario,30.0595,115.7258
ABTM475,2020,El Rosario,30.0595,115.7258
ABTR966,2020,El Rosario,30.0595,115.7258
ABTS260,2020,El Rosario,30.0595,115.7258
ABTT132,2020,El Rosario,30.0595,115.7258
ABTT821,2020,El Rosario,30.0595,115.7258
ABTY654,2020,El Rosario,30.0595,115.7258
ABTZ402,2020,El Rosario,30.0595,115.7258
ABTZ431,2020,El Rosario,30.0595,115.7258
ABUB704,2020,El Rosario,30.0595,115.7258
ABUC759,2020,El Rosario,30.0595,115.7258
ABUC789,2020,El Rosario,30.0595,115.7258
ABUC937,2020,El Rosario,30.0595,115.7258
ABUE681,2020,El Rosario,30.0595,115.7258
ABUG275,2020,El Rosario,30.0595,115.7258
ABUG414,2020,El Rosario,30.0595,115.7258
ABUJ555,2020,El Rosario,30.0595,115.7258
ABUJ845,2020,El Rosario,30.0595,115.7258
ABUL290,2020,El Rosario,30.0595,115.7258
ABUN352,2020,El Rosario,30.0595,115.7258
ABUN525,2020,El Rosario,30.0595,115.7258
ABUP911,2020,El Rosario,30.0595,115.7258
ABUT557,2020,El Rosario,30.0595,115.7258
ABUT624,2020,El Rosario,30.0595,115.7258
ABUU882,2020,El Rosario,30.0595,115.7258
ABUW291,2020,El Rosario,30.0595,115.7258
ABUW567,2020,El Rosario,30.0595,115.7258
ABUX323,2020,El Rosario,30.0595,115.7258
ABUX399,2020,El Rosario,30.0595,115.7258
ABUY237,2020,El Rosario,30.0595,115.7258
ABUY341,2020,El Rosario,30.0595,115.7258
ABWA699,2020,El Rosario,30.0595,115.7258
ABWB181,2020,El Rosario,30.0595,115.7258
ABWB563,2020,El Rosario,30.0595,115.7258
ABWC397,2020,El Rosario,30.0595,115.7258
ABWC520,2020,El Rosario,30.0595,115.7258
ABWC910,2020,El Rosario,30.0595,115.7258
ABWP183,2020,El Rosario,30.0595,115.7258
ABWR189,2020,El Rosario,30.0595,115.7258
ABWU291,2020,El Rosario,30.0595,115.7258
ABWW828,2020,El Rosario,30.0595,115.7258
ABWZ240,2020,El Rosario,30.0595,115.7258
ABXA696,2020,El Rosario,30.0595,115.7258
ABXA925,2020,El Rosario,30.0595,115.7258
ABXB762,2020,El Rosario,30.0595,115.7258
ABXE027,2020,El Rosario,30.0595,115.7258
ABXE259,2020,El Rosario,30.0595,115.7258
ABXG497,2020,El Rosario,30.0595,115.7258
ABXL666,2020,El Rosario,30.0595,115.7258
ABXP140,2020,El Rosario,30.0595,115.7258
ABXR980,2020,El Rosario,30.0595,115.7258
ABXT059,2020,El Rosario,30.0595,115.7258
ABXT204,2020,El Rosario,30.0595,115.7258
ABXT253,2020,El Rosario,30.0595,115.7258
ABXT547,2020,El Rosario,30.0595,115.7258
ABXT579,2020,El Rosario,30.0595,115.7258
ABXT923,2020,El Rosario,30.0595,115.7258
ABXU093,2020,El Rosario,30.0595,115.7258
ABXU649,2020,El Rosario,30.0595,115.7258
ABXX275,2020,El Rosario,30.0595,115.7258
ABXX711,2020,El Rosario,30.0595,115.7258
ABYA954,2020,El Rosario,30.0595,115.7258
ABYB806,2020,El Rosario,30.0595,115.7258
ABYC257,2020,El Rosario,30.0595,115.7258
ABYC481,2020,El Rosario,30.0595,115.7258
ABYC950,2020,El Rosario,30.0595,115.7258
ABYE337,2020,El Rosario,30.0595,115.7258
ABYG159,2020,El Rosario,30.0595,115.7258
ABYG962,2020,El Rosario,30.0595,115.7258
ABYH099,2020,El Rosario,30.0595,115.7258
ABYJ839,2020,El Rosario,30.0595,115.7258
ABYL010,2020,El Rosario,30.0595,115.7258
ABYL400,2020,El Rosario,30.0595,115.7258
ABYM772,2020,El Rosario,30.0595,115.7258
ABYP709,2020,El Rosario,30.0595,115.7258
ABYS504,2020,El Rosario,30.0595,115.7258
ABYS992,2020,El Rosario,30.0595,115.7258
ABYT990,2020,El Rosario,30.0595,115.7258
ABYT993,2020,El Rosario,30.0595,115.7258
ABYU357,2020,El Rosario,30.0595,115.7258
ABYW267,2020,El Rosario,30.0595,115.7258
ABYW395,2020,El Rosario,30.0595,115.7258
ABYX018,2020,El Rosario,30.0595,115.7258
ABYX248,2020,El Rosario,30.0595,115.7258
ABYZ598,2020,El Rosario,30.0595,115.7258
ABZA737,2020,El Rosario,30.0595,115.7258
ABZA957,2020,El Rosario,30.0595,115.7258
ABZB738,2020,El Rosario,30.0595,115.7258
ABZC302,2020,El Rosario,30.0595,115.7258
ABZE064,2020,El Rosario,30.0595,115.7258
ABZG042,2020,El Rosario,30.0595,115.7258
ABZG144,2020,El Rosario,30.0595,115.7258
ABZG417,2020,El Rosario,30.0595,115.7258
ABZG464,2020,El Rosario,30.0595,115.7258
ABZH103,2020,El Rosario,30.0595,115.7258
ABZH214,2020,El Rosario,30.0595,115.7258
ABZJ402,2020,El Rosario,30.0595,115.7258
ABZJ479,2020,El Rosario,30.0595,115.7258
ABZJ599,2020,El Rosario,30.0595,115.7258
ABZJ614,2020,El Rosario,30.0595,115.7258
ABZJ719,2020,El Rosario,30.0595,115.7258
ABZL034,2020,El Rosario,30.0595,115.7258
ABZL826,2020,El Rosario,30.0595,115.7258
ABZN203,2020,El Rosario,30.0595,115.7258
ABZN711,2020,El Rosario,30.0595,115.7258
ABZT256,2020,El Rosario,30.0595,115.7258
ABZT526,2020,El Rosario,30.0595,115.7258
ABZT917,2020,El Rosario,30.0595,115.7258
ABZW549,2020,El Rosario,30.0595,115.7258
ABZW568,2020,El Rosario,30.0595,115.7258
ABZW571,2020,El Rosario,30.0595,115.7258
ABZW797,2020,El Rosario,30.0595,115.7258
ABZX126,2020,El Rosario,30.0595,115.7258
ABZY607,2020,El Rosario,30.0595,115.7258
ACAA917,2020,El Rosario,30.0595,115.7258
ACAB070,2020,El Rosario,30.0595,115.7258
ACAH435,2020,El Rosario,30.0595,115.7258
ACAJ610,2020,El Rosario,30.0595,115.7258
ACAJ924,2020,El Rosario,30.0595,115.7258
ACAP565,2020,El Rosario,30.0595,115.7258
ACAP991,2020,El Rosario,30.0595,115.7258
